Provider,total_claims,ip_claims,op_claims,total_reimbursed,avg_claim_reimbursed,max_claim_reimbursed,total_deductible,avg_claim_duration,max_claim_duration,unique_benes,unique_attending,unique_operating,pct_same_physician,avg_diagnosis_count,avg_procedure_count,avg_hospital_stay,max_hospital_stay,ip_ratio,claims_per_bene,reimbursed_per_bene,physicians_per_bene,avg_bene_age,pct_deceased,avg_chronic_count,pct_renal_disease,avg_ip_annual_reimb,avg_op_annual_reimb,avg_months_partA,avg_months_partB,pct_ChronicCond_Alzheimer,pct_ChronicCond_Heartfailure,pct_ChronicCond_KidneyDisease,pct_ChronicCond_Cancer,pct_ChronicCond_ObstrPulmonary,pct_ChronicCond_Depression,pct_ChronicCond_Diabetes,pct_ChronicCond_IschemicHeart,pct_ChronicCond_Osteoporasis,pct_ChronicCond_rheumatoidarthritis,pct_ChronicCond_stroke,PotentialFraud
PRV51001,25,5,20,104640,4185.6,42000,5340.0,1.44,14,24,14,5,0.0,3.2,0.12,5.0,14.0,0.2,1.0416666666666667,4360.0,0.5833333333333334,78.28,0.0,5.56,0.32,17606.0,2615.2,12.0,12.0,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,0
PRV51003,132,62,70,605670,4588.409090909091,57000,66286.0,3.6742424242424243,27,117,44,7,0.2727272727272727,5.25,0.36363636363636365,5.161290322580645,27.0,0.4696969696969697,1.1282051282051282,5176.666666666667,0.37606837606837606,69.5530303030303,0.007575757575757576,4.545454545454546,0.2196969696969697,7568.181818181818,2678.181818181818,11.818181818181818,11.871212121212121,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.3106060606060606,0.4090909090909091,0.7575757575757576,0.8484848484848485,0.25,0.2878787878787879,0.09090909090909091,1
PRV51004,149,0,149,52170,350.13422818791946,3300,310.0,1.429530201342282,20,138,38,19,0.08053691275167785,2.5838926174496644,0.0,0.0,0.0,0.0,1.0797101449275361,378.04347826086956,0.2753623188405797,71.81208053691275,0.006711409395973154,4.342281879194631,0.15436241610738255,4351.879194630873,2194.8993288590605,11.865771812080537,11.95973154362416,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,0
PRV51005,1165,0,1165,280910,241.1244635193133,4080,3700.0,1.088412017167382,20,495,6,6,0.11244635193133047,2.5888412017167384,0.0,0.0,0.0,0.0,2.3535353535353534,567.4949494949495,0.012121212121212121,70.00085836909871,0.0034334763948497852,4.335622317596567,0.2223175965665236,3623.991416309013,2109.733905579399,11.907296137339056,11.939914163090128,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,1
PRV51007,72,3,69,33710,468.19444444444446,10000,3264.0,0.9583333333333334,20,58,10,5,0.09722222222222222,2.986111111111111,0.013888888888888888,5.333333333333333,7.0,0.041666666666666664,1.2413793103448276,581.2068965517242,0.1724137931034483,68.79166666666667,0.013888888888888888,4.166666666666667,0.1527777777777778,3050.0,1729.7222222222222,11.833333333333334,11.833333333333334,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.4027777777777778,0.6805555555555556,0.7083333333333334,0.2916666666666667,0.3055555555555556,0.16666666666666666,0
PRV51008,43,2,41,35630,828.6046511627907,21000,2316.0,1.5348837209302326,20,36,10,5,0.09302325581395349,3.1627906976744184,0.046511627906976744,4.0,5.0,0.046511627906976744,1.1944444444444444,989.7222222222222,0.2777777777777778,75.04651162790698,0.0,3.9069767441860463,0.23255813953488372,6592.093023255814,2570.4651162790697,12.0,12.0,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.046511627906976744,0
PRV51011,58,1,57,16630,286.7241379310345,5000,1368.0,0.5517241379310345,17,53,28,10,0.15517241379310345,2.5344827586206895,0.0,5.0,5.0,0.017241379310344827,1.0943396226415094,313.77358490566036,0.5283018867924528,73.86206896551724,0.017241379310344827,4.586206896551724,0.20689655172413793,4414.827586206897,1399.3103448275863,12.0,12.0,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.27586206896551724,0.034482758620689655,0
PRV51012,48,0,48,16890,351.875,3300,100.0,3.7083333333333335,20,31,14,3,0.16666666666666666,2.5625,0.0,0.0,0.0,0.0,1.5483870967741935,544.8387096774194,0.45161290322580644,74.02083333333333,0.0,4.625,0.14583333333333334,6935.416666666667,3793.9583333333335,12.0,11.5,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,0
PRV51013,46,0,46,14880,323.4782608695652,1800,230.0,1.4565217391304348,20,44,9,5,0.1956521739130435,2.5434782608695654,0.0,0.0,0.0,0.0,1.0454545454545454,338.1818181818182,0.20454545454545456,74.0,0.0,4.413043478260869,0.2391304347826087,3635.6521739130435,3226.521739130435,12.0,12.0,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,0
PRV51014,30,0,30,10480,349.3333333333333,3300,120.0,0.4666666666666667,9,25,7,6,0.16666666666666666,3.6666666666666665,0.0,0.0,0.0,0.0,1.2,419.2,0.28,70.63333333333334,0.03333333333333333,4.333333333333333,0.26666666666666666,2786.3333333333335,1742.3333333333333,12.0,12.0,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,0
